,office1,office2,office3,office4,office5,office6,office7,office8,office9,office10,office11,office12,office13,office14,office15,office16,office17,office18,office19,office20
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
7,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12
8,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11
9,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
10,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9
11,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8
12,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7
13,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6
14,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5
15,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4
16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3
17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2
18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1
19,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
